transformer_id,region_id,capacity_kva,installation_date,last_maintenance_date,failure_count,health_score
500001,117,250,2009-07-05,2026-03-25,1,87.1
500002,102,160,2012-12-18,2025-03-31,4,74.95
500003,119,250,2017-06-14,2025-04-01,0,100.0
500004,120,1000,2025-05-22,2025-11-25,3,81.29
500005,112,100,2010-02-20,2025-03-09,0,100.0
500006,116,63,2007-05-12,2025-11-27,1,93.05
500007,106,63,2022-04-28,2024-08-20,1,93.36
500008,111,1000,2010-10-27,2025-07-18,1,85.85
500009,117,500,2011-12-05,2025-02-08,1,87.22
500010,111,100,2013-11-12,2024-12-26,3,69.12
500011,120,500,2024-06-12,2026-06-09,1,92.51
500012,123,100,2017-05-15,2025-11-25,2,79.26
500013,118,100,2015-10-09,2025-06-02,0,100.0
500014,103,1000,2011-11-23,2024-12-22,1,92.59
500015,119,63,2014-02-19,2025-02-25,2,82.38
500016,115,63,2011-09-19,2025-02-07,1,89.05
500017,107,160,2014-04-30,2026-05-14,0,100.0
500018,101,250,2022-12-23,2025-03-03,0,100.0
500019,111,160,2010-03-06,2024-11-30,2,86.02
500020,111,100,2019-03-24,2024-09-19,2,89.46
500021,110,250,2012-07-05,2025-03-12,0,100.0
500022,116,100,2008-12-14,2025-09-12,2,72.54
500023,120,250,2011-12-04,2025-03-16,1,88.52
500024,111,160,2010-03-29,2025-05-09,3,73.24
500025,118,160,2024-11-17,2026-01-12,3,57.57
500026,112,160,2022-08-07,2025-02-25,1,93.53
500027,109,250,2019-10-09,2026-03-30,1,90.18
500028,103,25,2015-06-20,2025-09-04,2,76.38
500029,122,100,2008-08-31,2025-07-17,2,80.54
500030,113,160,2022-12-09,2026-05-07,0,100.0
500031,104,500,2023-01-12,2024-10-07,5,52.05
500032,122,160,2012-03-08,2025-05-13,3,63.18
500033,110,100,2014-11-09,2025-07-28,3,78.05
500034,115,1000,2023-04-22,2025-08-11,2,80.62
500035,124,25,2010-07-24,2025-01-09,0,100.0
500036,104,1000,2013-10-15,2025-03-04,0,100.0
500037,104,500,2006-11-01,2024-08-17,3,77.97
500038,116,500,2007-09-09,2026-02-01,1,91.96
500039,121,100,2013-07-25,2025-08-26,0,100.0
500040,123,250,2015-06-09,2024-08-17,0,100.0
500041,109,500,2009-11-26,2025-04-15,3,74.54
500042,121,100,2023-04-19,2026-02-18,1,91.31
500043,102,160,2019-06-14,2025-03-13,5,33.74
500044,104,250,2019-04-13,2025-10-05,1,85.46
500045,112,500,2010-08-11,2024-06-14,3,69.49
500046,120,250,2021-01-29,2024-08-16,3,84.13
500047,120,160,2018-09-01,2025-08-08,2,79.57
